lineage,precision,recall,f1_score,support
B.1.380,1.0,0.975,0.9865999999999999,73
B.1.381,1.0,0.9800000000000001,0.9888999999999999,46
B.1.382,0.9167,0.9,0.8966999999999998,19
B.1.383,0.9667,0.9667,0.96,23
B.1.384,1.0,0.9856999999999999,0.9923,74
B.1.385,1.0,1.0,1.0,22
B.1.387,1.0,1.0,1.0,8
B.1.388,1.0,1.0,1.0,8
B.1.389,0.9652,0.9752000000000001,0.9692999999999999,322
B.1.39,0.9689,0.9875,0.9763,81
B.1.390,0.975,1.0,0.9856999999999999,36
B.1.391,0.9869,0.9856999999999999,0.9859,212
B.1.393,0.9,0.85,0.8667,11
B.1.395,0.7767000000000001,0.9,0.8131,28
B.1.396,0.9696,0.9440000000000002,0.9548,287
B.1.397,0.9214,0.93,0.9098,47
B.1.398,0.9908999999999999,0.9809000000000001,0.9856,108
B.1.399,0.9464,0.9678000000000001,0.9546999999999999,96
B.1.40,0.95,1.0,0.9667,17
B.1.400,0.9907999999999999,0.9937999999999999,0.9922999999999998,320
B.1.400.1,1.0,1.0,1.0,20
B.1.401,0.8667,0.7834,0.8099999999999999,25
B.1.402,1.0,0.975,0.9856999999999999,36
B.1.403,1.0,0.9667,0.9800000000000001,27
B.1.404,0.9718,0.9678000000000001,0.9679,98
B.1.405,0.9667,0.85,0.8800999999999999,20
B.1.406,0.9633,0.9349999999999999,0.9405000000000001,47
B.1.407,1.0,1.0,1.0,10
B.1.408,1.0,1.0,1.0,68
B.1.409,1.0,1.0,1.0,222
B.1.411,0.96,0.8976000000000001,0.9138,69
B.1.413,0.938,0.9400000000000001,0.9318,50
B.1.415,1.0,0.95,0.9667,23
B.1.415.1,1.0,1.0,1.0,32
B.1.416,0.9418,0.9944,0.9665000000000001,184
B.1.416.1,0.9882,0.9800000000000001,0.9833000000000001,150
B.1.417,0.9,0.85,0.8667,12
B.1.418,0.9444444444444444,1.0,0.963,9
B.1.420,0.9667,1.0,0.9800000000000001,23
B.1.421,1.0,0.85,0.9001000000000001,19
B.1.422,0.9686,1.0,0.9833999999999999,113
B.1.423,1.0,1.0,1.0,29
B.1.424,0.9800000000000001,0.9349999999999999,0.9496,43
B.1.425,1.0,0.9908999999999999,0.9952,109
B.1.426,0.9928000000000001,0.9963,0.9945,270
