lineage,precision,recall,f1_score,support
B.1.168,1.0,1.0,1.0,36
B.1.169,0.8649000000000001,0.7118,0.7672000000000001,107
B.1.173,0.9400000000000001,0.9667,0.9371,22
B.1.177,0.9931999999999999,0.9926,0.993,25378
B.1.177.1,1.0,0.89,0.9348000000000001,55
B.1.177.10,0.9944,1.0,0.9971,175
B.1.177.11,1.0,1.0,1.0,430
B.1.177.12,0.9190999999999999,0.9907,0.9489999999999998,213
B.1.177.13,0.99,1.0,0.9946999999999999,87
B.1.177.14,0.6192,0.5584,0.5614,37
B.1.177.15,0.9681,0.9946999999999999,0.9807,375
B.1.177.16,0.9937999999999999,0.9955999999999999,0.9945999999999999,453
B.1.177.17,1.0,0.9958,0.9978,476
B.1.177.18,0.9960000000000001,0.9749000000000001,0.9848000000000001,238
B.1.177.19,0.9425000000000001,0.9949999999999999,0.9676,208
B.1.177.2,0.9269000000000001,0.8799999999999999,0.8943999999999999,102
B.1.177.20,1.0,0.968,0.9836,252
B.1.177.21,0.9926999999999999,0.9384,0.9639999999999999,537
B.1.177.22,0.5712,0.5333,0.4936000000000001,34
B.1.177.23,0.9908999999999999,0.97,0.9788,99
B.1.177.24,0.9638,1.0,0.9807,213
B.1.177.25,0.9467000000000001,1.0,0.9689,38
B.1.177.26,0.9856999999999999,0.9833000000000001,0.9832000000000001,58
B.1.177.27,1.0,0.9667,0.9800000000000001,38
B.1.177.3,1.0,1.0,1.0,95
B.1.177.4,0.9950999999999999,0.9960000000000001,0.9958,2049
B.1.177.5,1.0,1.0,1.0,314
B.1.177.6,0.9916,0.9913000000000001,0.9912999999999998,226
B.1.177.7,0.9505000000000001,0.9594999999999999,0.9540999999999998,942
B.1.177.8,0.9824999999999999,1.0,0.9911000000000001,495
B.1.177.9,1.0,1.0,1.0,243
B.1.178,0.5707,0.5548,0.5218999999999999,69
B.1.179,0.8163,1.0,0.8954000000000001,103
B.1.180,0.6,0.6,0.6,11
B.1.181,1.0,0.925,0.9400000000000001,37
B.1.182,0.9635000000000001,0.8981999999999999,0.9196,76
B.1.183,0.6388888888888888,0.7777777777777778,0.6741111111111111,9
